scientificName,x_coord,y_coord,presence,elevation,slope,aspect,hcas
Amytornis purnelli,133654.28982656373,-2557739.0269597997,1,971.92316,88.20325,57.704494,0.8175612
Amytornis purnelli,75663.30229880157,-2550152.7087477497,1,779.15674,87.06927,359.33994,0.4972888
Amytornis purnelli,209127.89025887885,-2594029.1283388245,1,548.34454,76.94224,119.13862,0.4321696
Amytornis purnelli,11506.13768411,-2832939.734040836,1,761.4192,86.65722,27.495844,0.8244338
Amytornis purnelli,-43038.29482915016,-2619293.3990660645,1,629.3487,74.346,10.430656,0.47156635
Amytornis purnelli,189426.2790396396,-2561400.726384361,1,715.47784,87.4569,194.4444,0.59858644
Amytornis purnelli,-42478.67945063309,-2618780.812703331,1,704.03973,88.617386,336.9507,0.49884725
Amytornis purnelli,-42542.55092172042,-2619240.460998647,1,713.6839,87.73391,183.02856,0.44701895
Amytornis purnelli,-105258.8153593311,-2445276.188667716,1,563.6685,57.980095,172.51706,0.76351553
Amytornis purnelli,-43062.600841773514,-2619324.162063955,1,629.3487,74.346,10.430656,0.47156635
Amytornis purnelli,140497.8692891546,-2558967.5108129242,1,1155.9613,88.74416,151.43517,0.67213213
Amytornis purnelli,-43075.20449961611,-2618711.472653258,1,693.1707,88.378716,90.94001,0.6872952
Amytornis purnelli,148334.32956105552,-2560274.6095118048,1,763.97656,73.661545,231.11761,0.00935948
Amytornis purnelli,227286.83439885094,-2599713.0636038277,1,490.88324,70.167496,297.4754,0.4193056
Amytornis purnelli,-74454.09779179702,-2446600.647888596,1,589.41644,83.01852,106.16291,0.8871439
Amytornis purnelli,-42620.86620709296,-2619372.1808168925,1,648.6153,86.23973,201.99007,0.7262973
Amytornis purnelli,173557.0980199195,-2555263.8624524903,1,699.1021,87.34665,67.29202,0.625958
Amytornis purnelli,75545.5848113259,-2549852.5758549734,1,713.7032,87.981995,37.058926,0.31931335
Amytornis purnelli,140485.40418269509,-2558953.609527499,1,1190.9882,84.6922,160.02007,0.76419044
Amytornis purnelli,178644.4278023943,-2327816.956488821,1,534.9267,68.86256,232.7172,0.028903771
Amytornis purnelli,127938.06977382349,-2441875.3311485327,1,690.4098,72.8693,206.90411,0.7881183
Amytornis purnelli,207712.59282886243,-2581143.551749241,1,504.99023,22.418804,186.68198,0.71465605
Amytornis purnelli,20223.99309750814,-2823713.352969838,1,745.9134,88.723274,307.4633,0.7788953
Amytornis purnelli,73007.15063956966,-2549034.6416630847,1,879.59894,88.85379,172.32622,0.497151
Amytornis purnelli,-42961.55411315884,-2619832.644155624,1,681.19507,87.18384,255.51627,0.5975501
